name,club,position,age,goals,assists,transfer_value,log_transfer_value
Harrison Armstrong,Everton,Midfield,19,0,0,12000000.0,16.300417291085605
Jack Grealish,Everton,Offence,30,0,0,20000000.0,16.811242881518265
Thierno Barry,Everton,Offence,26,1,0,30000000.0,17.216707972959764
Tyler Dibling,Everton,Offence,20,0,0,17000000.0,16.648723960844016
Bernd Leno,Fulham,Goalkeeper,34,0,0,6000000.0,15.607270193858982
Benjamin Lecomte,Fulham,Goalkeeper,35,0,0,800000.0,13.592368256649284
Timothy Castagne,Fulham,Defence,30,0,0,8000000.0,15.894952224644102
Joachim Andersen,Fulham,Defence,30,0,0,20000000.0,16.811242881518265
Antonee Robinson,Fulham,Defence,29,0,0,22000000.0,16.906553056777135
Ryan Sessegnon,Fulham,Defence,26,0,0,22000000.0,16.906553056777135
Kenny Tete,Fulham,Defence,30,0,0,8000000.0,15.894952224644102
Jorge Cuenca,Fulham,Defence,26,0,0,8000000.0,15.894952224644102
Calvin Bassey,Fulham,Defence,26,0,0,28000000.0,17.147715103853763
Tom Cairney,Fulham,Midfield,35,0,0,500000.0,13.122365377402328
Harrison Reed,Fulham,Midfield,31,0,0,2000000.0,14.508658238524095
Sander Berge,Fulham,Midfield,28,0,0,25000000.0,17.034386422832473
Emile Smith Rowe,Fulham,Midfield,26,0,0,20000000.0,16.811242881518265
Alex Iwobi,Fulham,Offence,30,0,0,20000000.0,16.811242881518265
Rodrigo Muniz,Fulham,Offence,25,0,0,20000000.0,16.811242881518265
Jonah Kusi-Asare,Fulham,Offence,19,0,0,3000000.0,14.914123179965662
Freddie Woodman,Liverpool,Goalkeeper,29,0,0,3000000.0,14.914123179965662
Giorgi Mamardashvili,Liverpool,Goalkeeper,25,0,0,28000000.0,17.147715103853763
Harvey Davies,Liverpool,Goalkeeper,23,0,0,500000.0,13.122365377402328
Joe Gomez,Liverpool,Defence,29,0,0,13000000.0,16.380459992348886
Virgil van Dijk,Liverpool,Defence,35,0,0,15000000.0,16.52356082573315
Jeremie Frimpong,Liverpool,Defence,25,0,0,35000000.0,17.370858648025116
Milos Kerkez,Liverpool,Defence,22,0,0,35000000.0,17.370858648025116
Conor Bradley,Liverpool,Defence,23,0,0,25000000.0,17.034386422832473
Giovanni Leoni,Liverpool,Defence,19,0,0,25000000.0,17.034386422832473
Wataru Endō,Liverpool,Midfield,33,0,0,4000000.0,15.201805169084134
Dominik Szoboszlai,Liverpool,Midfield,25,1,0,100000000.0,18.420680753952364
Florian Wirtz,Liverpool,Midfield,23,0,0,100000000.0,18.420680753952364
Alexis Mac Allister,Liverpool,Midfield,27,0,0,70000000.0,18.064005814299346
Ryan Gravenberch,Liverpool,Midfield,24,0,0,80000000.0,18.197537205138154
Trey Nyoni,Liverpool,Midfield,19,0,0,8000000.0,15.894952224644102
Federico Chiesa,Liverpool,Offence,28,0,0,13000000.0,16.380459992348886
Alexander Isak,Liverpool,Offence,26,1,0,85000000.0,18.258161826219297
Cody Gakpo,Liverpool,Offence,27,1,1,60000000.0,17.909855136853043
Hugo Ekitike,Liverpool,Offence,24,0,0,80000000.0,18.197537205138154
Rio Ngumoha,Liverpool,Offence,18,0,0,30000000.0,17.216707972959764
Gianluigi Donnarumma,Man City,Goalkeeper,27,0,0,45000000.0,17.622173069956816
Marcus Bettinelli,Man City,Goalkeeper,34,0,0,300000.0,12.611541086966115
Rayan Aït Nouri,Man City,Defence,25,0,0,40000000.0,17.50439003707821
Rúben Dias,Man City,Defence,29,0,0,55000000.0,17.822843761378564
Matheus Nunes,Man City,Defence,28,0,0,50000000.0,17.72753358339242
Marc Guéhi,Man City,Defence,26,1,0,70000000.0,18.064005814299346
Joško Gvardiol,Man City,Defence,24,1,1,70000000.0,18.064005814299346
Rico Lewis,Man City,Defence,21,0,0,28000000.0,17.147715103853763
Nico O'Reilly,Man City,Defence,21,0,0,70000000.0,18.064005814299346
Abdukodir Khusanov,Man City,Defence,22,0,0,50000000.0,17.72753358339242
Mateo Kovačić,Man City,Midfield,32,0,0,10000000.0,16.118095750958314
Phil Foden,Man City,Midfield,26,0,0,70000000.0,18.064005814299346
Rayan Cherki,Man City,Midfield,23,2,2,90000000.0,18.31532023940565
Antoine Semenyo,Man City,Offence,26,0,0,80000000.0,18.197537205138154
Erling Haaland,Man City,Offence,26,2,0,200000000.0,19.11382792951231
Jeremy Doku,Man City,Offence,24,0,0,75000000.0,18.132998684833918
Harry Maguire,Man United,Defence,33,0,0,8000000.0,15.894952224644102
Matthijs de Ligt,Man United,Defence,27,0,0,30000000.0,17.216707972959764
Noussair Mazraoui,Man United,Defence,28,0,0,18000000.0,16.705882371415992
Luke Shaw,Man United,Defence,31,0,0,8000000.0,15.894952224644102
Diogo Dalot,Man United,Defence,27,0,0,30000000.0,17.216707972959764
Lisandro Martínez,Man United,Defence,28,0,0,40000000.0,17.50439003707821
Leny Yoro,Man United,Defence,20,0,0,50000000.0,17.72753358339242
Ayden Heaven,Man United,Defence,19,0,0,30000000.0,17.216707972959764
Bruno Fernandes,Man United,Midfield,31,3,1,35000000.0,17.370858648025116
Mason Mount,Man United,Midfield,27,0,0,25000000.0,17.034386422832473
Manuel Ugarte,Man United,Midfield,25,0,0,25000000.0,17.034386422832473
Kobbie Mainoo,Man United,Midfield,21,0,0,70000000.0,18.064005814299346
Jack Fletcher,Man United,Midfield,19,0,0,1000000.0,13.815511557963774
Bryan Mbeumo,Man United,Offence,27,1,0,75000000.0,18.132998684833918
Matheus Cunha,Man United,Offence,27,0,0,75000000.0,18.132998684833918
Joshua Zirkzee,Man United,Offence,25,0,0,20000000.0,16.811242881518265
Benjamin Šeško,Man United,Offence,23,0,0,75000000.0,18.132998684833918
Amad Diallo,Man United,Offence,24,0,0,45000000.0,17.622173069956816
Patrick Dorgu,Man United,Offence,21,0,0,35000000.0,17.370858648025116
Nick Pope,Newcastle,Goalkeeper,34,0,0,5000000.0,15.424948670398354
Fabian Schär,Newcastle,Defence,34,0,0,4000000.0,15.201805169084134
Dan Burn,Newcastle,Defence,34,0,0,4000000.0,15.201805169084134
Sven Botman,Newcastle,Defence,26,0,0,35000000.0,17.370858648025116
Malick Thiaw,Newcastle,Defence,25,0,0,45000000.0,17.622173069956816
Joe Willock,Newcastle,Midfield,27,1,0,14000000.0,16.454567959008102
Joelinton,Newcastle,Midfield,30,0,0,25000000.0,17.034386422832473
Jacob Ramsey,Newcastle,Midfield,25,0,0,35000000.0,17.370858648025116
Lewis Miley,Newcastle,Midfield,20,0,0,25000000.0,17.034386422832473
Yoane Wissa,Newcastle,Offence,30,1,1,25000000.0,17.034386422832473
Jacob Murphy,Newcastle,Offence,31,0,0,12000000.0,16.300417291085605
Harvey Barnes,Newcastle,Offence,28,0,0,32000000.0,17.281246492014
Anthony Elanga,Newcastle,Offence,24,2,0,32000000.0,17.281246492014
William Osula,Newcastle,Offence,23,0,0,28000000.0,17.147715103853763
Robin Roefs,Sunderland,Goalkeeper,23,0,0,28000000.0,17.147715103853763
Melker Ellborg,Sunderland,Goalkeeper,23,0,0,3000000.0,14.914123179965662
Luke O'Nien,Sunderland,Defence,31,0,0,700000.0,13.45883704259595
Nordi Mukiele,Sunderland,Defence,28,0,0,16000000.0,16.588099342704055
Omar Alderete,Sunderland,Defence,29,0,0,13000000.0,16.380459992348886
Trai Hume,Sunderland,Defence,24,0,0,22000000.0,16.906553056777135
Granit Xhaka,Sunderland,Midfield,33,0,0,8000000.0,15.894952224644102
Enzo Le Fée,Sunderland,Midfield,26,0,0,28000000.0,17.147715103853763
Abdoullah Ba,Sunderland,Midfield,23,0,0,1500000.0,14.220976332738882
Habib Diarra,Sunderland,Midfield,22,0,0,35000000.0,17.370858648025116
Noah Sadiki,Sunderland,Midfield,21,0,0,35000000.0,17.370858648025116
Chris Rigg,Sunderland,Midfield,19,0,0,25000000.0,17.034386422832473
Wilson Isidor,Sunderland,Offence,26,1,0,18000000.0,16.705882371415992
